Vehicle_ID,Vehicle_Type,Route_ID,Date,Start_Location,End_Location,Distance_km,Average_Speed_kmh,Travel_Time_hrs,Number_of_Stops,Road_Type,Traffic_Level,Payload_kg,Idle_Time_min,Driving_Efficiency_Score,Estimated_Fuel_L
VH-0359,Flatbed,RT-BRI-CAR-126,2022-04-21,Bristol,Cardiff,47.8,72.6,0.66,2,Highway,Moderate,16040.0,47.7,0.5857,17.89
VH-0395,Van,RT-CHI-DET-416,2024-03-09,Chicago,Detroit,415.6,89.6,4.64,5,Highway,Congested,1210.0,113.2,0.3305,11.73
VH-0118,Medium Truck,RT-BIR-WOL-981,2024-01-01,Birmingham,Wolverhampton,18.3,60.1,0.3,1,Mixed,Moderate,5260.0,36.2,0.6295,2.25
VH-0469,Medium Truck,RT-EXE-PLY-705,2022-12-29,Exeter,Plymouth,60.5,64.3,0.94,0,Mixed,Congested,9000.0,11.8,0.7437,12.7
VH-0306,Tanker,RT-ATL-CHA-455,2023-09-27,Atlanta,Charlotte,455.0,69.4,6.56,5,Highway,Moderate,24590.0,106.0,0.2999,261.06
VH-0247,Tanker,RT-KAN-ST -100,2022-01-22,Kansas City,St Louis,393.5,72.8,5.41,1,Highway,Low,17340.0,28.5,0.6996,159.21
VH-0268,Flatbed,RT-NEW-LEE-406,2024-09-04,Newcastle,Leeds,105.3,69.0,1.53,1,Highway,Moderate,24100.0,36.2,0.6562,59.21
VH-0005,Refrigerated Truck,RT-NEW-PHI-504,2024-06-14,New York,Philadelphia,145.9,44.4,3.29,1,Urban,High,20350.0,34.0,0.5915,69.28
VH-0128,Tanker,RT-COV-LEI-882,2024-11-24,Coventry,Leicester,27.2,55.5,0.49,2,Mixed,High,24380.0,39.9,0.5669,15.47
VH-0410,Van,RT-HOU-NEW-286,2022-05-21,Houston,New Orleans,528.8,63.9,8.28,11,Rural,Low,2030.0,252.1,0.2099,25.05
VH-0070,Tanker,RT-SOU-POR-119,2023-10-19,Southampton,Portsmouth,28.0,49.9,0.56,0,Urban,Moderate,22380.0,22.5,0.6559,14.62
VH-0078,Flatbed,RT-LEE-SHE-338,2022-01-17,Leeds,Sheffield,59.6,76.8,0.78,2,Highway,Low,20160.0,31.2,0.6671,28.04
VH-0047,Flatbed,RT-LON-COV-574,2024-01-31,London,Coventry,145.0,62.2,2.33,2,Highway,Low,16470.0,54.9,0.5245,55.72
VH-0357,Tanker,RT-MAN-LEE-656,2022-05-27,Manchester,Leeds,68.3,70.2,0.97,1,Highway,High,26630.0,40.3,0.6427,42.44
VH-0241,Van,RT-LEI-NOT-494,2023-05-25,Leicester,Nottingham,30.5,86.4,0.35,1,Highway,High,1300.0,56.4,0.6242,0.93
VH-0395,Van,RT-DAL-HOU-584,2023-03-03,Dallas,Houston,434.8,89.3,4.87,7,Highway,Congested,1230.0,174.8,0.2929,12.48
VH-0200,Medium Truck,RT-LOU-LEX-359,2022-09-08,Louisville,Lexington,110.9,68.9,1.61,3,Rural,Low,9950.0,84.8,0.4034,25.75
VH-0247,Tanker,RT-MIN-MIL-748,2023-04-29,Minneapolis,Milwaukee,511.0,70.1,7.29,4,Highway,Moderate,29600.0,57.2,0.512,352.93
VH-0223,Tanker,RT-EXE-PLY-695,2022-03-28,Exeter,Plymouth,60.6,56.9,1.07,0,Rural,High,18650.0,14.9,0.7086,26.37
VH-0402,Medium Truck,RT-RIC-BAL-802,2022-07-07,Richmond,Baltimore,196.4,78.4,2.51,3,Highway,Moderate,6420.0,50.2,0.576,29.42
VH-0317,Heavy Truck,RT-CAR-NEW-599,2022-09-15,Cardiff,Newport,19.0,77.0,0.25,0,Highway,Low,22660.0,22.5,0.7372,10.05
VH-0120,Flatbed,RT-EXE-PLY-841,2024-01-04,Exeter,Plymouth,60.0,67.9,0.88,1,Rural,High,19720.0,31.5,0.6724,27.61
VH-0069,Heavy Truck,RT-BRI-BAT-656,2023-01-18,Bristol,Bath,16.9,51.2,0.33,3,Mixed,Moderate,17840.0,71.1,0.4074,7.03
VH-0179,Van,RT-EXE-PLY-258,2024-12-23,Exeter,Plymouth,57.1,64.9,0.88,3,Rural,High,1400.0,102.9,0.316,1.87
VH-0231,Flatbed,RT-SOU-POR-734,2022-02-08,Southampton,Portsmouth,33.7,65.6,0.51,0,Rural,Moderate,20470.0,17.6,0.7235,16.1
VH-0439,Heavy Truck,RT-ABE-INV-636,2023-01-24,Aberdeen,Inverness,150.7,43.8,3.44,2,Urban,Low,23100.0,47.3,0.501,81.23
VH-0350,Heavy Truck,RT-PHO-TUC-774,2024-12-07,Phoenix,Tucson,197.9,43.6,4.54,3,Urban,Moderate,11770.0,61.5,0.4246,54.35
VH-0035,Refrigerated Truck,RT-MAN-LEE-684,2022-03-07,Manchester,Leeds,64.6,43.5,1.49,0,Urban,Low,10680.0,7.7,0.6984,16.1
VH-0329,Tanker,RT-YOR-LEE-113,2022-05-26,York,Leeds,30.8,66.0,0.47,2,Highway,Moderate,20500.0,51.2,0.5513,14.73
VH-0477,Medium Truck,RT-SHE-HUL-671,2024-01-10,Sheffield,Hull,76.1,63.0,1.21,1,Mixed,High,10750.0,47.7,0.5902,19.09
VH-0381,Flatbed,RT-LOS-SAN-179,2023-09-15,Los Angeles,San Francisco,573.1,70.2,8.16,5,Highway,High,9200.0,93.6,0.3539,123.03
VH-0484,Tanker,RT-SHE-HUL-683,2023-05-25,Sheffield,Hull,75.7,54.2,1.4,2,Highway,Low,17900.0,38.5,0.5688,31.62
VH-0321,Flatbed,RT-LEI-NOT-819,2024-07-28,Leicester,Nottingham,25.8,62.9,0.41,0,Highway,Moderate,17800.0,24.2,0.6879,10.72
VH-0341,Tanker,RT-NEW-PHI-714,2024-12-29,New York,Philadelphia,154.2,39.5,3.9,1,Urban,High,24860.0,41.9,0.5454,89.45
VH-0227,Flatbed,RT-EDI-DUN-723,2023-10-25,Edinburgh,Dundee,92.1,65.7,1.4,0,Rural,High,22040.0,20.8,0.7104,47.36
VH-0124,Medium Truck,RT-DET-CLE-558,2024-07-15,Detroit,Cleveland,239.1,78.0,3.07,2,Highway,Moderate,8240.0,58.3,0.5578,45.97
VH-0492,Tanker,RT-CHI-DET-106,2023-09-11,Chicago,Detroit,469.5,74.7,6.29,3,Highway,Low,17030.0,43.9,0.5912,186.56
VH-0154,Van,RT-MAN-LIV-669,2024-11-13,Manchester,Liverpool,59.0,60.0,0.98,2,Urban,Low,3060.0,70.8,0.4517,4.21
VH-0293,Van,RT-DET-CLE-338,2023-05-27,Detroit,Cleveland,255.2,90.3,2.83,2,Highway,Low,1920.0,36.6,0.6851,11.43
VH-0132,Tanker,RT-NOR-CAM-277,2024-09-15,Norwich,Cambridge,81.6,58.8,1.39,2,Rural,Moderate,25850.0,70.6,0.4489,49.22
VH-0250,Medium Truck,RT-RIC-BAL-898,2022-06-10,Richmond,Baltimore,189.9,82.9,2.29,1,Highway,Moderate,10190.0,36.4,0.697,45.15
VH-0029,Tanker,RT-CAR-NEW-865,2023-04-10,Cardiff,Newport,19.5,47.2,0.41,0,Urban,High,28050.0,26.7,0.6304,12.76
VH-0335,Medium Truck,RT-LOS-LAS-614,2023-11-01,Los Angeles,Las Vegas,419.6,59.3,7.08,5,Mixed,Low,10080.0,97.6,0.3046,98.69
VH-0358,Medium Truck,RT-MAN-LIV-192,2024-10-30,Manchester,Liverpool,54.9,51.2,1.07,0,Urban,Moderate,11780.0,29.3,0.6315,15.09
VH-0114,Medium Truck,RT-NEW-PHI-661,2022-04-11,New York,Philadelphia,166.5,74.0,2.25,1,Highway,Moderate,10140.0,17.3,0.7499,39.39
VH-0205,Heavy Truck,RT-BRI-BAT-599,2023-02-10,Bristol,Bath,20.3,50.7,0.4,0,Urban,Moderate,12160.0,8.3,0.7175,5.76
VH-0203,Van,RT-NAS-MEM-895,2023-06-30,Nashville,Memphis,356.3,94.9,3.75,3,Highway,Moderate,1610.0,93.0,0.4472,13.39
VH-0221,Van,RT-EXE-PLY-428,2023-01-26,Exeter,Plymouth,61.2,81.5,0.75,1,Rural,Moderate,1910.0,25.3,0.7391,2.73
VH-0177,Van,RT-LOS-LAS-738,2024-06-24,Los Angeles,Las Vegas,393.8,76.3,5.16,2,Highway,High,3050.0,44.2,0.6114,28.03
VH-0075,Heavy Truck,RT-DAL-HOU-215,2022-06-25,Dallas,Houston,413.0,65.7,6.29,9,Highway,High,22120.0,157.9,0.2171,213.16
VH-0379,Medium Truck,RT-LEE-SHE-810,2023-12-05,Leeds,Sheffield,56.9,81.5,0.7,1,Highway,Moderate,7590.0,36.3,0.6932,10.08
VH-0412,Van,RT-GLA-EDI-868,2024-12-07,Glasgow,Edinburgh,70.2,89.3,0.79,2,Highway,Moderate,1530.0,50.8,0.6229,2.51
VH-0133,Van,RT-CHI-IND-144,2024-12-14,Chicago,Indianapolis,284.8,88.6,3.21,5,Highway,Moderate,1050.0,74.5,0.4887,6.98
VH-0131,Refrigerated Truck,RT-COV-LEI-168,2022-01-18,Coventry,Leicester,31.3,66.2,0.47,1,Highway,Low,14510.0,31.6,0.6669,10.6
VH-0199,Refrigerated Truck,RT-COL-CIN-336,2024-03-02,Columbus,Cincinnati,190.0,64.7,2.94,0,Highway,High,8270.0,26.6,0.6833,36.66
VH-0195,Flatbed,RT-MIA-ORL-612,2023-02-12,Miami,Orlando,358.3,60.9,5.88,4,Highway,High,9500.0,110.9,0.2606,79.42
VH-0495,Tanker,RT-ATL-CHA-502,2024-09-30,Atlanta,Charlotte,464.1,76.4,6.07,3,Highway,Moderate,19570.0,54.1,0.5538,211.92
VH-0382,Medium Truck,RT-COV-LEI-382,2024-10-23,Coventry,Leicester,29.0,67.4,0.43,3,Highway,Moderate,13960.0,54.7,0.5243,9.45
VH-0416,Refrigerated Truck,RT-LEE-SHE-330,2023-07-28,Leeds,Sheffield,48.6,61.1,0.8,0,Highway,High,8410.0,25.4,0.6775,9.54
VH-0078,Flatbed,RT-CAR-NEW-527,2023-04-11,Cardiff,Newport,19.1,42.7,0.45,1,Urban,Low,18410.0,43.5,0.5468,8.2
VH-0124,Medium Truck,RT-DET-CLE-768,2023-02-28,Detroit,Cleveland,262.0,78.6,3.33,4,Highway,Congested,9880.0,191.6,0.2758,60.4
VH-0071,Medium Truck,RT-NEW-BOS-238,2024-12-08,New York,Boston,346.6,79.1,4.38,5,Highway,High,11350.0,171.4,0.2706,91.79
VH-0221,Van,RT-LON-COV-288,2022-08-31,London,Coventry,141.7,85.4,1.66,4,Highway,Moderate,2330.0,49.4,0.5904,7.7
VH-0163,Tanker,RT-LON-COV-255,2023-07-15,London,Coventry,140.1,62.0,2.26,1,Rural,High,21650.0,36.3,0.6348,70.77
VH-0399,Medium Truck,RT-LON-CAM-710,2023-04-18,London,Cambridge,103.7,71.9,1.44,0,Highway,Low,7400.0,20.3,0.7311,17.91
VH-0119,Tanker,RT-MAN-LIV-829,2024-08-18,Manchester,Liverpool,47.6,41.0,1.16,2,Urban,Moderate,22530.0,56.3,0.4551,25.02
VH-0333,Medium Truck,RT-ABE-INV-882,2024-04-16,Aberdeen,Inverness,143.7,61.3,2.34,0,Rural,Moderate,7040.0,9.1,0.746,23.61
VH-0497,Medium Truck,RT-LON-BIR-549,2022-12-29,London,Birmingham,149.4,52.4,2.85,2,Mixed,Low,6840.0,48.9,0.5201,23.84
VH-0444,Heavy Truck,RT-HOU-NEW-722,2022-03-27,Houston,New Orleans,487.4,62.1,7.85,9,Highway,Low,16480.0,153.2,0.2063,187.42
VH-0377,Tanker,RT-YOR-LEE-633,2022-03-20,York,Leeds,32.0,49.1,0.65,1,Mixed,Moderate,22880.0,40.5,0.5786,17.08
VH-0056,Van,RT-DAL-HOU-671,2022-03-22,Dallas,Houston,401.2,73.7,5.44,3,Highway,High,2340.0,107.4,0.3236,21.91
VH-0199,Refrigerated Truck,RT-SEA-POR-572,2023-08-09,Seattle,Portland,299.3,68.6,4.36,3,Highway,Low,18830.0,73.5,0.4495,131.5
VH-0086,Refrigerated Truck,RT-NEW-PHI-192,2024-07-14,New York,Philadelphia,155.4,66.0,2.35,1,Highway,High,14490.0,55.2,0.568,52.54
VH-0370,Van,RT-MIA-ORL-431,2024-04-26,Miami,Orlando,378.1,81.6,4.63,4,Highway,High,1340.0,156.5,0.2848,11.82
VH-0231,Flatbed,RT-BIR-MAN-431,2023-05-28,Birmingham,Manchester,105.6,83.2,1.27,3,Highway,Moderate,15730.0,70.4,0.5063,38.76
VH-0355,Van,RT-NAS-MEM-187,2024-01-14,Nashville,Memphis,377.4,54.0,6.99,5,Urban,Moderate,2120.0,58.4,0.452,18.67
VH-0269,Flatbed,RT-YOR-LEE-266,2022-11-04,York,Leeds,30.9,46.8,0.66,2,Urban,Moderate,23510.0,53.1,0.4858,16.95
VH-0445,Heavy Truck,RT-LON-COV-395,2024-07-02,London,Coventry,162.9,78.8,2.07,0,Highway,Moderate,22300.0,12.7,0.7835,84.76
VH-0321,Flatbed,RT-LEI-NOT-609,2024-07-28,Leicester,Nottingham,26.0,71.8,0.36,2,Highway,Low,12300.0,43.5,0.6008,7.46
VH-0438,Refrigerated Truck,RT-PHO-TUC-564,2024-09-01,Phoenix,Tucson,169.5,77.2,2.2,2,Highway,Low,16240.0,57.0,0.5608,64.23
VH-0210,Medium Truck,RT-DAL-HOU-150,2023-03-02,Dallas,Houston,370.9,88.2,4.21,2,Highway,Moderate,10580.0,43.0,0.6521,91.56
VH-0095,Tanker,RT-LON-COV-439,2023-09-04,London,Coventry,142.8,63.2,2.26,2,Highway,Low,23670.0,26.8,0.6446,78.87
VH-0472,Refrigerated Truck,RT-BRI-CAR-566,2022-12-30,Bristol,Cardiff,54.6,69.8,0.78,0,Highway,Moderate,16560.0,21.8,0.7186,21.1
VH-0384,Tanker,RT-NEW-BOS-876,2022-05-19,New York,Boston,373.7,74.8,5.0,7,Highway,Low,28460.0,160.5,0.2494,248.16
VH-0219,Flatbed,RT-CHI-IND-637,2024-04-27,Chicago,Indianapolis,328.2,70.7,4.64,9,Highway,Moderate,13600.0,117.2,0.2438,104.15
VH-0108,Medium Truck,RT-RIC-BAL-595,2022-06-29,Richmond,Baltimore,183.6,71.4,2.57,2,Highway,Low,9760.0,64.9,0.5104,41.81
VH-0371,Van,RT-RIC-BAL-638,2023-06-16,Richmond,Baltimore,174.7,75.8,2.3,3,Highway,High,3120.0,99.7,0.362,12.72
VH-0295,Medium Truck,RT-HOU-NEW-927,2024-10-05,Houston,New Orleans,490.7,69.8,7.03,10,Highway,Low,10690.0,193.6,0.2276,122.4
VH-0093,Medium Truck,RT-HOU-NEW-855,2022-08-30,Houston,New Orleans,523.1,79.5,6.58,8,Highway,Low,9180.0,98.3,0.3511,112.05
VH-0435,Refrigerated Truck,RT-SHE-HUL-755,2022-01-24,Sheffield,Hull,82.7,49.2,1.68,1,Mixed,Moderate,16930.0,32.7,0.6113,32.67
VH-0104,Medium Truck,RT-RIC-BAL-216,2022-01-13,Richmond,Baltimore,159.0,72.5,2.19,1,Highway,High,7920.0,36.2,0.6667,29.38
VH-0352,Heavy Truck,RT-CAR-NEW-953,2023-11-08,Cardiff,Newport,20.0,49.1,0.41,0,Urban,Moderate,12810.0,5.7,0.7236,5.98
VH-0174,Tanker,RT-LOU-LEX-985,2024-08-01,Louisville,Lexington,108.6,62.9,1.73,4,Highway,Moderate,17330.0,42.8,0.5504,43.91
VH-0275,Refrigerated Truck,RT-CAR-NEW-668,2023-10-09,Cardiff,Newport,19.4,47.4,0.41,0,Urban,High,15300.0,6.4,0.7155,6.93
VH-0275,Refrigerated Truck,RT-BIR-MAN-387,2022-11-02,Birmingham,Manchester,87.0,73.1,1.19,2,Highway,Moderate,12950.0,70.4,0.4926,26.29
VH-0431,Refrigerated Truck,RT-BIR-MAN-709,2023-01-19,Birmingham,Manchester,85.3,72.2,1.18,1,Highway,Moderate,16480.0,26.2,0.7074,32.8
VH-0060,Van,RT-NOR-CAM-562,2024-02-01,Norwich,Cambridge,61.7,80.9,0.76,1,Rural,Moderate,3190.0,19.8,0.7602,4.59
VH-0425,Medium Truck,RT-NOR-CAM-554,2022-07-09,Norwich,Cambridge,75.3,62.1,1.21,0,Rural,Low,12000.0,24.6,0.6838,21.08
VH-0260,Medium Truck,RT-BIR-MAN-246,2023-11-02,Birmingham,Manchester,84.6,51.8,1.63,1,Urban,Low,9710.0,47.0,0.5596,19.17
VH-0394,Heavy Truck,RT-LIV-MAN-104,2022-08-26,Liverpool,Manchester,58.4,53.0,1.1,1,Urban,Low,23840.0,23.3,0.6619,32.49
VH-0160,Tanker,RT-MAN-LEE-884,2024-12-02,Manchester,Leeds,70.5,66.6,1.06,3,Highway,Moderate,15690.0,45.1,0.5619,25.81
VH-0338,Tanker,RT-NOR-CAM-383,2023-08-10,Norwich,Cambridge,76.5,63.2,1.21,1,Rural,High,18010.0,36.7,0.6367,32.15
VH-0273,Tanker,RT-EXE-PLY-204,2024-11-18,Exeter,Plymouth,56.6,67.4,0.84,0,Highway,Low,29370.0,7.9,0.7693,38.79
VH-0106,Refrigerated Truck,RT-KAN-ST -275,2023-05-17,Kansas City,St Louis,508.9,53.7,9.48,9,Highway,Low,11970.0,116.3,0.1965,142.14
VH-0037,Medium Truck,RT-NOR-CAM-208,2022-04-14,Norwich,Cambridge,81.5,66.0,1.23,2,Rural,Low,9240.0,39.3,0.6009,17.57
VH-0197,Heavy Truck,RT-LEE-SHE-731,2024-07-02,Leeds,Sheffield,51.3,62.8,0.82,0,Highway,Moderate,20070.0,27.3,0.6746,24.02
VH-0183,Tanker,RT-NOR-CAM-681,2024-08-11,Norwich,Cambridge,74.9,50.3,1.49,1,Rural,Low,16180.0,46.1,0.5588,28.28
VH-0068,Heavy Truck,RT-BRI-CAR-337,2024-08-21,Bristol,Cardiff,52.5,59.8,0.88,1,Mixed,Low,22260.0,34.4,0.6361,27.27
VH-0486,Medium Truck,RT-MAN-LIV-907,2023-11-08,Manchester,Liverpool,47.9,51.3,0.93,4,Urban,High,6650.0,83.5,0.346,7.43
VH-0441,Tanker,RT-EXE-PLY-389,2022-12-16,Exeter,Plymouth,54.8,64.8,0.85,1,Rural,Low,21920.0,29.9,0.6698,28.03
VH-0394,Heavy Truck,RT-EDI-DUN-669,2023-10-30,Edinburgh,Dundee,89.9,74.8,1.2,2,Highway,Low,22750.0,44.9,0.604,47.72
VH-0333,Medium Truck,RT-LON-BRI-493,2024-09-14,London,Bristol,162.7,58.8,2.77,0,Mixed,Moderate,9930.0,20.5,0.691,37.7
VH-0034,Van,RT-CAR-NEW-657,2023-12-02,Cardiff,Newport,18.6,54.3,0.34,3,Urban,Moderate,2420.0,75.5,0.3983,1.05
VH-0356,Heavy Truck,RT-BIR-WOL-706,2022-08-23,Birmingham,Wolverhampton,23.3,43.3,0.54,1,Urban,Moderate,23390.0,43.4,0.5491,12.72
VH-0306,Tanker,RT-ATL-CHA-801,2022-08-11,Atlanta,Charlotte,460.6,70.8,6.51,7,Highway,Low,21090.0,121.7,0.2374,226.66
VH-0417,Tanker,RT-LOS-LAS-694,2022-10-12,Los Angeles,Las Vegas,404.9,48.7,8.31,5,Mixed,Low,18260.0,101.4,0.2569,172.51
VH-0463,Heavy Truck,RT-MIN-MIL-300,2024-07-04,Minneapolis,Milwaukee,511.8,46.0,11.13,3,Urban,Moderate,19850.0,59.4,0.4405,237.05
VH-0106,Refrigerated Truck,RT-LOU-LEX-835,2024-06-09,Louisville,Lexington,110.8,50.6,2.19,3,Rural,Moderate,21210.0,83.2,0.3551,54.83
VH-0469,Medium Truck,RT-EDI-DUN-478,2022-05-08,Edinburgh,Dundee,95.9,66.0,1.45,0,Highway,Moderate,12670.0,26.2,0.6888,28.35
VH-0462,Van,RT-CHI-IND-340,2022-03-05,Chicago,Indianapolis,272.0,73.5,3.7,3,Highway,Moderate,3150.0,79.8,0.438,19.99
VH-0222,Tanker,RT-RIC-BAL-778,2023-03-09,Richmond,Baltimore,168.9,62.5,2.7,2,Highway,Moderate,21530.0,55.4,0.5233,84.85
VH-0089,Tanker,RT-DEN-SAL-993,2023-08-14,Denver,Salt Lake City,647.4,67.2,9.63,8,Highway,Moderate,21260.0,192.7,0.2238,321.15
VH-0344,Heavy Truck,RT-NEW-LEE-239,2024-06-13,Newcastle,Leeds,100.7,65.9,1.53,1,Highway,Low,17790.0,31.3,0.6673,41.8
VH-0044,Refrigerated Truck,RT-NEW-LEE-738,2024-05-21,Newcastle,Leeds,118.4,67.8,1.75,0,Highway,Moderate,16460.0,24.7,0.7005,45.47
VH-0093,Medium Truck,RT-ATL-CHA-691,2022-01-16,Atlanta,Charlotte,419.5,88.0,4.77,10,Highway,Moderate,6670.0,170.4,0.2822,65.29
VH-0256,Medium Truck,RT-BIR-WOL-821,2024-09-16,Birmingham,Wolverhampton,20.9,63.9,0.33,1,Rural,Moderate,13800.0,31.5,0.6604,6.73
VH-0189,Medium Truck,RT-GLA-EDI-576,2023-07-27,Glasgow,Edinburgh,72.6,71.8,1.01,1,Highway,Congested,9740.0,41.0,0.6446,16.5
VH-0265,Van,RT-BRI-CAR-800,2022-06-09,Bristol,Cardiff,47.4,90.5,0.52,1,Highway,Moderate,2660.0,32.9,0.7344,2.94
VH-0325,Flatbed,RT-KAN-ST -624,2024-07-18,Kansas City,St Louis,393.3,66.8,5.89,6,Rural,Moderate,8180.0,158.5,0.229,75.07
VH-0464,Refrigerated Truck,RT-DEN-SAL-136,2022-12-10,Denver,Salt Lake City,660.4,59.5,11.1,7,Highway,Low,12120.0,127.4,0.2035,186.76
VH-0356,Heavy Truck,RT-LOS-LAS-928,2023-08-21,Los Angeles,Las Vegas,486.1,56.4,8.62,7,Rural,Low,10830.0,121.5,0.1942,122.84
VH-0378,Refrigerated Truck,RT-HOU-NEW-235,2023-06-01,Houston,New Orleans,591.1,69.5,8.51,5,Highway,Moderate,18970.0,57.7,0.5014,261.64
VH-0316,Flatbed,RT-LON-LUT-774,2022-11-06,London,Luton,55.6,62.4,0.89,1,Mixed,Low,23470.0,40.7,0.6176,30.45
VH-0229,Tanker,RT-ABE-INV-451,2022-03-09,Aberdeen,Inverness,158.0,64.2,2.46,1,Rural,High,22910.0,26.3,0.683,84.46
VH-0044,Refrigerated Truck,RT-LON-COV-343,2024-02-24,London,Coventry,155.4,61.6,2.52,2,Highway,High,13780.0,86.1,0.3927,49.97
VH-0339,Van,RT-DAL-HOU-153,2022-08-26,Dallas,Houston,382.1,49.7,7.69,7,Urban,Low,2610.0,157.0,0.1741,23.27
VH-0086,Refrigerated Truck,RT-ATL-CHA-799,2024-02-17,Atlanta,Charlotte,472.3,63.9,7.39,6,Highway,Low,15460.0,147.9,0.2203,170.37
VH-0362,Medium Truck,RT-YOR-LEE-491,2024-07-08,York,Leeds,32.5,66.7,0.49,1,Highway,Low,13350.0,28.1,0.683,10.12
VH-0348,Van,RT-EXE-PLY-443,2023-07-13,Exeter,Plymouth,49.4,81.6,0.61,0,Highway,Low,3110.0,13.8,0.7873,3.58
VH-0139,Medium Truck,RT-LON-LUT-632,2023-02-04,London,Luton,43.2,63.2,0.68,1,Rural,Moderate,11740.0,39.0,0.6271,11.83
VH-0173,Heavy Truck,RT-LOU-LEX-521,2022-01-25,Louisville,Lexington,100.2,66.1,1.52,2,Highway,Low,23310.0,56.4,0.53,54.5
VH-0051,Van,RT-SEA-POR-734,2022-02-18,Seattle,Portland,304.3,77.5,3.93,3,Highway,Moderate,1480.0,47.3,0.5854,10.51
VH-0048,Heavy Truck,RT-LEE-SHE-484,2022-09-24,Leeds,Sheffield,56.1,46.0,1.22,0,Urban,Congested,11920.0,22.7,0.6434,15.6
VH-0337,Van,RT-NAS-MEM-776,2024-08-14,Nashville,Memphis,296.9,87.5,3.39,5,Highway,Congested,1630.0,243.1,0.2958,11.29
VH-0480,Refrigerated Truck,RT-LON-BRI-363,2023-10-25,London,Bristol,214.0,71.4,3.0,3,Highway,High,20650.0,69.0,0.4767,103.11
VH-0083,Refrigerated Truck,RT-LON-BRI-282,2023-06-27,London,Bristol,207.6,69.3,3.0,4,Highway,Low,11620.0,88.3,0.38,56.29
VH-0226,Refrigerated Truck,RT-LON-BRI-653,2022-10-22,London,Bristol,214.1,74.0,2.89,3,Highway,High,14890.0,86.6,0.4112,74.39
VH-0394,Heavy Truck,RT-NEW-PHI-172,2022-05-30,New York,Philadelphia,152.3,82.6,1.84,1,Highway,Moderate,11650.0,46.4,0.6545,41.4
VH-0293,Van,RT-BRI-BAT-372,2024-03-10,Bristol,Bath,20.9,87.3,0.24,0,Highway,High,3330.0,21.0,0.7744,1.62
VH-0078,Flatbed,RT-RIC-BAL-546,2024-09-06,Richmond,Baltimore,162.4,72.6,2.24,1,Highway,Moderate,21110.0,30.8,0.6895,79.99
VH-0207,Flatbed,RT-LON-BRI-441,2024-01-06,London,Bristol,168.3,73.6,2.29,2,Highway,Low,16200.0,73.9,0.4795,63.62
VH-0350,Heavy Truck,RT-NOR-CAM-182,2023-11-28,Norwich,Cambridge,75.5,66.4,1.14,2,Rural,Moderate,18550.0,55.9,0.5329,32.68
VH-0431,Refrigerated Truck,RT-ATL-CHA-406,2023-01-27,Atlanta,Charlotte,482.2,63.2,7.63,1,Rural,Moderate,13380.0,17.0,0.7188,150.54
VH-0357,Tanker,RT-YOR-LEE-297,2022-03-15,York,Leeds,29.2,61.2,0.48,1,Rural,Moderate,17840.0,39.0,0.6211,12.15
VH-0013,Van,RT-NEW-BOS-116,2024-07-09,New York,Boston,335.9,79.8,4.21,3,Highway,Moderate,2250.0,85.5,0.4332,17.63
VH-0019,Heavy Truck,RT-CAR-NEW-569,2024-12-07,Cardiff,Newport,18.1,49.6,0.36,1,Urban,High,22910.0,20.2,0.6646,9.68
VH-0482,Flatbed,RT-LOU-LEX-769,2024-09-28,Louisville,Lexington,85.9,49.2,1.75,0,Urban,Moderate,20500.0,6.8,0.7193,41.09
VH-0010,Heavy Truck,RT-DEN-SAL-940,2023-09-22,Denver,Salt Lake City,738.4,84.3,8.76,11,Highway,Low,20120.0,214.7,0.2711,346.65
VH-0407,Van,RT-LIV-MAN-709,2024-10-15,Liverpool,Manchester,54.1,57.2,0.95,1,Urban,Low,1270.0,43.5,0.5903,1.6
VH-0410,Van,RT-HOU-NEW-432,2024-04-03,Houston,New Orleans,479.5,84.4,5.68,5,Highway,High,3460.0,132.0,0.2865,38.71
VH-0062,Tanker,RT-LOU-LEX-443,2022-12-22,Louisville,Lexington,111.0,74.9,1.48,0,Highway,Low,26460.0,24.8,0.7214,68.53
VH-0033,Flatbed,RT-GLA-EDI-695,2023-05-14,Glasgow,Edinburgh,76.5,78.5,0.97,1,Highway,High,10810.0,29.4,0.713,19.3
VH-0021,Medium Truck,RT-NEW-LEE-182,2024-09-24,Newcastle,Leeds,97.4,61.9,1.57,3,Highway,High,5140.0,101.8,0.3115,11.68
VH-0004,Tanker,RT-LON-BIR-808,2024-09-01,London,Birmingham,186.0,68.8,2.7,2,Highway,Low,21240.0,65.3,0.501,92.18
VH-0065,Van,RT-SHE-HUL-710,2022-03-19,Sheffield,Hull,67.5,62.9,1.07,0,Mixed,Low,1440.0,11.0,0.7429,2.27
VH-0093,Medium Truck,RT-PHO-TUC-296,2023-04-28,Phoenix,Tucson,191.3,89.2,2.14,2,Highway,Low,8770.0,56.6,0.5984,39.15
VH-0061,Refrigerated Truck,RT-SEA-POR-383,2023-03-03,Seattle,Portland,310.5,59.3,5.24,4,Rural,High,14500.0,156.4,0.2179,105.05
VH-0028,Tanker,RT-LON-CAM-786,2022-11-24,London,Cambridge,85.8,73.6,1.17,1,Highway,Low,22460.0,50.1,0.612,44.96
VH-0473,Heavy Truck,RT-MAN-LEE-144,2024-07-17,Manchester,Leeds,75.0,68.0,1.1,2,Highway,Moderate,19870.0,34.4,0.6273,34.77
