Manufacturer,Vehicle_Model,Vehicle_Class,Engine_Size_L,Engine_Cylinders,Transmission_Type,Fuel_Type_Code,Fuel_Type,Fuel_Consumption_City_L100km,Fuel_Consumption_Hwy_L100km,Fuel_Consumption_Combined_L100km,CO2_Emissions_g_per_km,Estimated_Annual_CO2_kg,Fuel_Cost_Per_100km_CAD,Estimated_Annual_Fuel_Cost_CAD,EV_CO2_Saving_g_per_km,EV_Annual_CO2_Saving_kg,Is_Diesel,Emission_Category
Mercedes-Benz,S 65 AMG COUPE,Compact,6.0,12,AS7,Z,Premium Gasoline,18.0,11.3,15.0,345,6900.0,21.75,4350.0,315,6300.0,0,High
Mercedes-Benz,SL 550,Two-Seater,4.7,8,AS7,Z,Premium Gasoline,13.8,9.5,11.9,274,5480.0,17.26,3452.0,244,4880.0,0,High
Mercedes-Benz,SL 63 AMG,Two-Seater,5.5,8,AS7,Z,Premium Gasoline,14.7,9.5,12.4,285,5700.0,17.98,3596.0,255,5100.0,0,High
Mercedes-Benz,SL 65 AMG,Two-Seater,6.0,12,AS7,Z,Premium Gasoline,16.7,11.2,14.2,327,6540.0,20.59,4118.0,297,5940.0,0,High
Mercedes-Benz,SLK 250,Two-Seater,1.8,4,AS7,Z,Premium Gasoline,10.4,7.2,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Mercedes-Benz,SLK 250,Two-Seater,1.8,4,M6,Z,Premium Gasoline,10.4,7.2,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Mercedes-Benz,SLK 55 AMG,Two-Seater,5.5,8,AS7,Z,Premium Gasoline,12.4,8.5,10.6,244,4880.0,15.37,3074.0,214,4280.0,0,Medium
Mercedes-Benz,SLS AMG GT COUPE,Two-Seater,6.2,8,AM7,Z,Premium Gasoline,18.1,12.6,15.6,359,7180.0,22.62,4524.0,329,6580.0,0,Very High
Mercedes-Benz,SLS AMG GT ROADSTER,Two-Seater,6.2,8,AM7,Z,Premium Gasoline,18.1,12.6,15.6,359,7180.0,22.62,4524.0,329,6580.0,0,Very High
Mini,COOPER 3 DOOR,Subcompact,1.5,3,AS6,Z,Premium Gasoline,8.5,6.3,7.5,172,3440.0,10.88,2176.0,142,2840.0,0,Medium
Mini,COOPER 3 DOOR,Subcompact,1.5,3,M6,Z,Premium Gasoline,8.1,5.9,7.1,163,3260.0,10.3,2060.0,133,2660.0,0,Medium
Mini,COOPER 5 DOOR,Subcompact,1.5,3,AS6,Z,Premium Gasoline,8.5,6.3,7.5,172,3440.0,10.88,2176.0,142,2840.0,0,Medium
Mini,COOPER 5 DOOR,Subcompact,1.5,3,M6,Z,Premium Gasoline,8.2,5.9,7.2,166,3320.0,10.44,2088.0,136,2720.0,0,Medium
Mini,COOPER CONVERTIBLE,Minicompact,1.6,4,AS6,Z,Premium Gasoline,8.6,6.5,7.7,177,3540.0,11.16,2232.0,147,2940.0,0,Medium
Mini,COOPER CONVERTIBLE,Minicompact,1.6,4,M6,Z,Premium Gasoline,8.4,6.4,7.5,172,3440.0,10.88,2176.0,142,2840.0,0,Medium
Mini,COOPER COUNTRYMAN,Compact,1.6,4,AS6,Z,Premium Gasoline,9.4,7.9,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Mini,COOPER COUNTRYMAN,Compact,1.6,4,M6,Z,Premium Gasoline,8.4,6.4,7.5,172,3440.0,10.88,2176.0,142,2840.0,0,Medium
Mini,COOPER COUPE,Two-Seater,1.6,4,AS6,Z,Premium Gasoline,8.5,6.5,7.6,175,3500.0,11.02,2204.0,145,2900.0,0,Medium
Mini,COOPER PACEMAN,Compact,1.6,4,AS6,Z,Premium Gasoline,9.4,7.9,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Mini,COOPER PACEMAN,Compact,1.6,4,M6,Z,Premium Gasoline,8.4,6.4,7.5,172,3440.0,10.88,2176.0,142,2840.0,0,Medium
Mini,COOPER ROADSTER,Two-Seater,1.6,4,AS6,Z,Premium Gasoline,8.6,6.5,7.7,177,3540.0,11.16,2232.0,147,2940.0,0,Medium
Mini,COOPER ROADSTER,Two-Seater,1.6,4,M6,Z,Premium Gasoline,8.4,6.4,7.5,172,3440.0,10.88,2176.0,142,2840.0,0,Medium
Mini,COOPER S 3 DOOR,Subcompact,2.0,4,AS6,Z,Premium Gasoline,9.2,7.0,8.2,189,3780.0,11.89,2378.0,159,3180.0,0,Medium
Mini,COOPER S 3 DOOR,Subcompact,2.0,4,M6,Z,Premium Gasoline,10.0,7.0,8.6,198,3960.0,12.47,2494.0,168,3360.0,0,Medium
Mini,COOPER S 5 DOOR,Subcompact,2.0,4,AS6,Z,Premium Gasoline,9.2,7.0,8.2,189,3780.0,11.89,2378.0,159,3180.0,0,Medium
Mini,COOPER S 5 DOOR,Subcompact,2.0,4,M6,Z,Premium Gasoline,10.0,7.0,8.6,198,3960.0,12.47,2494.0,168,3360.0,0,Medium
Mini,COOPER S CONVERTIBLE,Minicompact,1.6,4,AS6,Z,Premium Gasoline,9.2,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,COOPER S CONVERTIBLE,Minicompact,1.6,4,M6,Z,Premium Gasoline,9.1,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,COOPER S COUNTRYMAN ALL4,Compact,1.6,4,AS6,Z,Premium Gasoline,10.1,7.8,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Mini,COOPER S COUNTRYMAN ALL4,Compact,1.6,4,M6,Z,Premium Gasoline,9.5,7.7,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Mini,COOPER S COUPE,Two-Seater,1.6,4,AS6,Z,Premium Gasoline,9.2,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,COOPER S COUPE,Two-Seater,1.6,4,M6,Z,Premium Gasoline,9.1,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,COOPER S PACEMAN ALL4,Compact,1.6,4,AS6,Z,Premium Gasoline,10.1,7.8,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Mini,COOPER S PACEMAN ALL4,Compact,1.6,4,M6,Z,Premium Gasoline,9.5,7.7,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Mini,COOPER S ROADSTER,Two-Seater,1.6,4,AS6,Z,Premium Gasoline,9.2,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,COOPER S ROADSTER,Two-Seater,1.6,4,M6,Z,Premium Gasoline,9.1,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,JOHN COOPER WORKS,Subcompact,2.0,4,AS6,Z,Premium Gasoline,9.3,7.3,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Mini,JOHN COOPER WORKS,Subcompact,2.0,4,M6,Z,Premium Gasoline,10.4,7.7,9.2,212,4240.0,13.34,2668.0,182,3640.0,0,Medium
Mini,JOHN COOPER WORKS CONVERTIBLE,Minicompact,1.6,4,AS6,Z,Premium Gasoline,9.2,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,JOHN COOPER WORKS CONVERTIBLE,Minicompact,1.6,4,M6,Z,Premium Gasoline,9.1,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,JOHN COOPER WORKS COUNTRYMAN ALL4,Compact,1.6,4,AS6,Z,Premium Gasoline,10.1,7.8,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Mini,JOHN COOPER WORKS COUNTRYMAN ALL4,Compact,1.6,4,M6,Z,Premium Gasoline,9.5,7.7,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Mini,JOHN COOPER WORKS COUPE,Two-Seater,1.6,4,AS6,Z,Premium Gasoline,9.2,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,JOHN COOPER WORKS COUPE,Two-Seater,1.6,4,M6,Z,Premium Gasoline,9.1,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,JOHN COOPER WORKS PACEMAN ALL4,Compact,1.6,4,AS6,Z,Premium Gasoline,10.1,7.8,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Mini,JOHN COOPER WORKS PACEMAN ALL4,Compact,1.6,4,M6,Z,Premium Gasoline,9.5,7.7,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Mini,JOHN COOPER WORKS ROADSTER,Two-Seater,1.6,4,AS6,Z,Premium Gasoline,9.2,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mini,JOHN COOPER WORKS ROADSTER,Two-Seater,1.6,4,M6,Z,Premium Gasoline,9.1,6.8,8.1,186,3720.0,11.74,2348.0,156,3120.0,0,Medium
Mitsubishi,LANCER,Compact,2.0,4,AV6,X,Regular Gasoline,9.2,6.9,8.2,189,3780.0,11.89,2378.0,159,3180.0,0,Medium
Mitsubishi,LANCER,Compact,2.0,4,M5,X,Regular Gasoline,9.6,6.9,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Mitsubishi,LANCER AWD,Compact,2.4,4,AV6,X,Regular Gasoline,10.5,8.2,9.5,219,4380.0,13.78,2756.0,189,3780.0,0,Medium
Mitsubishi,MIRAGE,Compact,1.2,3,AV,X,Regular Gasoline,6.4,5.3,5.9,136,2720.0,8.56,1712.0,106,2120.0,0,Low
Mitsubishi,MIRAGE,Compact,1.2,3,M5,X,Regular Gasoline,7.0,5.5,6.4,147,2940.0,9.28,1856.0,117,2340.0,0,Low
Mitsubishi,OUTLANDER 4WD,Suv - Small,3.0,6,AS6,Z,Premium Gasoline,11.5,8.4,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Mitsubishi,RVR,Suv - Small,2.0,4,AV6,X,Regular Gasoline,9.3,7.3,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Mitsubishi,RVR,Suv - Small,2.0,4,M5,X,Regular Gasoline,9.9,7.6,8.8,202,4040.0,12.76,2552.0,172,3440.0,0,Medium
Mitsubishi,RVR 4WD,Suv - Small,2.0,4,AV6,X,Regular Gasoline,9.6,7.7,8.8,202,4040.0,12.76,2552.0,172,3440.0,0,Medium
Mitsubishi,RVR 4WD,Suv - Small,2.4,4,AV6,X,Regular Gasoline,10.4,8.5,9.6,221,4420.0,13.92,2784.0,191,3820.0,0,Medium
Nissan,370Z COUPE,Two-Seater,3.7,6,AS7,Z,Premium Gasoline,12.6,9.2,11.1,255,5100.0,16.1,3220.0,225,4500.0,0,High
Nissan,370Z COUPE,Two-Seater,3.7,6,M6,Z,Premium Gasoline,13.3,9.3,11.5,264,5280.0,16.68,3336.0,234,4680.0,0,High
Nissan,370Z ROADSTER,Two-Seater,3.7,6,AS7,Z,Premium Gasoline,13.0,9.6,11.5,264,5280.0,16.68,3336.0,234,4680.0,0,High
Nissan,370Z ROADSTER,Two-Seater,3.7,6,M6,Z,Premium Gasoline,13.6,9.7,11.8,271,5420.0,17.11,3422.0,241,4820.0,0,High
Nissan,ALTIMA,Mid-Size,3.5,6,AV,X,Regular Gasoline,10.3,7.4,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Nissan,ARMADA 4WD,Suv - Standard,5.6,8,A5,X,Regular Gasoline,19.2,13.4,16.6,382,7640.0,24.07,4814.0,352,7040.0,0,Very High
Nissan,FRONTIER,Pickup Truck - Small,4.0,6,A5,X,Regular Gasoline,14.8,10.3,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Nissan,FRONTIER 4WD,Pickup Truck - Small,4.0,6,A5,X,Regular Gasoline,15.7,11.3,13.7,315,6300.0,19.86,3972.0,285,5700.0,0,High
Nissan,FRONTIER 4WD,Pickup Truck - Small,4.0,6,M6,X,Regular Gasoline,15.0,11.2,13.3,306,6120.0,19.28,3856.0,276,5520.0,0,High
Nissan,GT-R,Subcompact,3.8,6,AM6,Z,Premium Gasoline,14.3,10.5,12.6,290,5800.0,18.27,3654.0,260,5200.0,0,High
Nissan,JUKE,Station Wagon - Small,1.6,4,AV7,X,Regular Gasoline,8.5,7.2,7.9,182,3640.0,11.46,2292.0,152,3040.0,0,Medium
Nissan,JUKE,Station Wagon - Small,1.6,4,M6,X,Regular Gasoline,8.4,6.9,7.7,177,3540.0,11.16,2232.0,147,2940.0,0,Medium
Nissan,JUKE AWD,Station Wagon - Small,1.6,4,AV7,X,Regular Gasoline,8.8,7.5,8.2,189,3780.0,11.89,2378.0,159,3180.0,0,Medium
Nissan,JUKE NISMO RS,Station Wagon - Small,1.6,4,M6,Z,Premium Gasoline,8.9,7.5,8.3,191,3820.0,12.04,2408.0,161,3220.0,0,Medium
Nissan,JUKE NISMO RS AWD,Station Wagon - Small,1.6,4,AV8,Z,Premium Gasoline,9.4,8.1,8.8,202,4040.0,12.76,2552.0,172,3440.0,0,Medium
Nissan,MICRA,Compact,1.6,4,A4,X,Regular Gasoline,8.8,6.6,7.8,179,3580.0,11.31,2262.0,149,2980.0,0,Medium
Nissan,MICRA,Compact,1.6,4,M5,X,Regular Gasoline,8.6,6.6,7.7,177,3540.0,11.16,2232.0,147,2940.0,0,Medium
Nissan,MURANO,Station Wagon - Mid-Size,3.5,6,AV7,X,Regular Gasoline,11.0,8.2,9.8,225,4500.0,14.21,2842.0,195,3900.0,0,Medium
Nissan,MURANO AWD,Station Wagon - Mid-Size,3.5,6,AV7,X,Regular Gasoline,11.2,8.3,9.9,228,4560.0,14.36,2872.0,198,3960.0,0,Medium
Nissan,NV200 CARGO VAN,Special Purpose Vehicle,2.0,4,AV,X,Regular Gasoline,9.7,9.0,9.4,216,4320.0,13.63,2726.0,186,3720.0,0,Medium
Nissan,PATHFINDER,Suv - Small,3.5,6,AV,X,Regular Gasoline,11.9,8.6,10.4,239,4780.0,15.08,3016.0,209,4180.0,0,Medium
Nissan,PATHFINDER 4WD,Suv - Small,3.5,6,AV,X,Regular Gasoline,12.1,8.9,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Nissan,PATHFINDER 4WD PLATINUM,Suv - Small,3.5,6,AV,X,Regular Gasoline,12.7,9.0,11.0,253,5060.0,15.95,3190.0,223,4460.0,0,High
Nissan,QUEST,Minivan,3.5,6,AV,X,Regular Gasoline,12.0,8.7,10.5,242,4840.0,15.22,3044.0,212,4240.0,0,Medium
Nissan,ROGUE AWD,Suv - Small,2.5,4,AV,X,Regular Gasoline,9.5,7.4,8.5,196,3920.0,12.32,2464.0,166,3320.0,0,Medium
Nissan,TITAN,Pickup Truck - Standard,5.6,8,A5,X,Regular Gasoline,18.4,13.3,16.1,370,7400.0,23.35,4670.0,340,6800.0,0,Very High
Nissan,TITAN 4WD,Pickup Truck - Standard,5.6,8,A5,X,Regular Gasoline,19.7,14.3,17.2,396,7920.0,24.94,4988.0,366,7320.0,0,Very High
Nissan,SENTRA,Mid-Size,1.8,4,AV,X,Regular Gasoline,8.0,6.1,7.2,166,3320.0,10.44,2088.0,136,2720.0,0,Medium
Nissan,SENTRA,Mid-Size,1.8,4,M6,X,Regular Gasoline,8.9,6.6,7.9,182,3640.0,11.46,2292.0,152,3040.0,0,Medium
Nissan,VERSA,Compact,1.6,4,AV,X,Regular Gasoline,7.5,6.0,6.8,156,3120.0,9.86,1972.0,126,2520.0,0,Medium
Nissan,XTERRA 4WD,Suv - Small,4.0,6,A5,X,Regular Gasoline,16.0,12.0,14.2,327,6540.0,20.59,4118.0,297,5940.0,0,High
Nissan,XTERRA 4WD,Suv - Small,4.0,6,M6,X,Regular Gasoline,16.0,12.3,14.4,331,6620.0,20.88,4176.0,301,6020.0,0,High
Porsche,911 CARRERA,Minicompact,3.4,6,AM7,Z,Premium Gasoline,11.6,8.4,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Porsche,911 CARRERA,Minicompact,3.4,6,M7,Z,Premium Gasoline,12.3,8.6,10.6,244,4880.0,15.37,3074.0,214,4280.0,0,Medium
Porsche,911 CARRERA CABRIOLET,Minicompact,3.4,6,AM7,Z,Premium Gasoline,11.5,8.3,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Porsche,911 CARRERA CABRIOLET,Minicompact,3.4,6,M7,Z,Premium Gasoline,12.3,8.7,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Porsche,911 CARRERA 4,Minicompact,3.4,6,AM7,Z,Premium Gasoline,11.6,8.5,10.2,235,4700.0,14.79,2958.0,205,4100.0,0,Medium
Porsche,911 CARRERA 4,Minicompact,3.4,6,M7,Z,Premium Gasoline,12.3,8.7,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Porsche,911 CARRERA 4 CABRIOLET,Minicompact,3.4,6,AM7,Z,Premium Gasoline,11.9,8.7,10.5,242,4840.0,15.22,3044.0,212,4240.0,0,Medium
Porsche,911 CARRERA 4 CABRIOLET,Minicompact,3.4,6,M7,Z,Premium Gasoline,12.5,9.0,10.9,251,5020.0,15.8,3160.0,221,4420.0,0,High
Porsche,911 CARRERA 4 GTS,Minicompact,3.8,6,AM7,Z,Premium Gasoline,12.6,9.2,11.1,255,5100.0,16.1,3220.0,225,4500.0,0,High
Porsche,911 CARRERA 4 GTS,Minicompact,3.8,6,M7,Z,Premium Gasoline,13.0,9.2,11.3,260,5200.0,16.39,3278.0,230,4600.0,0,High
Porsche,911 CARRERA 4 GTS CABRIOLET,Minicompact,3.8,6,AM7,Z,Premium Gasoline,13.1,9.4,11.4,262,5240.0,16.53,3306.0,232,4640.0,0,High
Porsche,911 CARRERA 4 GTS CABRIOLET,Minicompact,3.8,6,M7,Z,Premium Gasoline,13.4,9.3,11.6,267,5340.0,16.82,3364.0,237,4740.0,0,High
Porsche,911 CARRERA 4S,Minicompact,3.8,6,AM7,Z,Premium Gasoline,12.2,8.9,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Porsche,911 CARRERA 4S,Minicompact,3.8,6,M7,Z,Premium Gasoline,12.6,8.9,11.0,253,5060.0,15.95,3190.0,223,4460.0,0,High
Porsche,911 CARRERA 4S CABRIOLET,Minicompact,3.8,6,AM7,Z,Premium Gasoline,12.5,9.0,11.0,253,5060.0,15.95,3190.0,223,4460.0,0,High
Porsche,911 CARRERA 4S CABRIOLET,Minicompact,3.8,6,M7,Z,Premium Gasoline,12.9,9.2,11.2,258,5160.0,16.24,3248.0,228,4560.0,0,High
Porsche,911 CARRERA GTS,Minicompact,3.8,6,AM7,Z,Premium Gasoline,12.6,9.0,11.0,253,5060.0,15.95,3190.0,223,4460.0,0,High
Porsche,911 CARRERA GTS,Minicompact,3.8,6,M7,Z,Premium Gasoline,12.9,9.0,11.2,258,5160.0,16.24,3248.0,228,4560.0,0,High
Porsche,911 CARRERA GTS CABRIOLET,Minicompact,3.8,6,AM7,Z,Premium Gasoline,12.6,9.2,11.1,255,5100.0,16.1,3220.0,225,4500.0,0,High
Porsche,911 CARRERA GTS CABRIOLET,Minicompact,3.8,6,M7,Z,Premium Gasoline,13.4,9.3,11.6,267,5340.0,16.82,3364.0,237,4740.0,0,High
Porsche,911 CARRERA S,Minicompact,3.8,6,AM7,Z,Premium Gasoline,11.9,8.7,10.5,242,4840.0,15.22,3044.0,212,4240.0,0,Medium
Porsche,911 CARRERA S,Minicompact,3.8,6,M7,Z,Premium Gasoline,12.4,8.7,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Porsche,911 CARRERA S CABRIOLET,Minicompact,3.8,6,AM7,Z,Premium Gasoline,12.2,8.7,10.6,244,4880.0,15.37,3074.0,214,4280.0,0,Medium
Porsche,911 CARRERA S CABRIOLET,Minicompact,3.8,6,M7,Z,Premium Gasoline,12.5,8.9,10.9,251,5020.0,15.8,3160.0,221,4420.0,0,High
Porsche,911 TARGA 4,Minicompact,3.4,6,AM7,Z,Premium Gasoline,12.3,8.9,10.8,248,4960.0,15.66,3132.0,218,4360.0,0,Medium
Porsche,911 TARGA 4,Minicompact,3.4,6,M7,Z,Premium Gasoline,12.9,9.0,11.1,255,5100.0,16.1,3220.0,225,4500.0,0,High
Porsche,911 TARGA 4S,Minicompact,3.8,6,AM7,Z,Premium Gasoline,12.8,9.3,11.2,258,5160.0,16.24,3248.0,228,4560.0,0,High
Porsche,911 TARGA 4S,Minicompact,3.8,6,M7,Z,Premium Gasoline,13.1,9.2,11.4,262,5240.0,16.53,3306.0,232,4640.0,0,High
Porsche,BOXSTER GTS,Two-Seater,3.4,6,AM7,Z,Premium Gasoline,10.9,7.7,9.5,218,4360.0,13.78,2756.0,188,3760.0,0,Medium
Porsche,BOXSTER GTS,Two-Seater,3.4,6,M6,Z,Premium Gasoline,12.1,8.9,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Porsche,CAYENNE S,Suv - Standard,3.6,6,A8,Z,Premium Gasoline,14.3,9.6,12.2,286,5720.0,17.69,3538.0,256,5120.0,0,High
Porsche,CAYENNE TURBO,Suv - Standard,4.8,8,A8,Z,Premium Gasoline,16.7,11.2,14.2,327,6540.0,20.59,4118.0,297,5940.0,0,High
Porsche,CAYMAN GTS,Two-Seater,3.4,6,AM7,Z,Premium Gasoline,10.9,7.7,9.5,218,4360.0,13.78,2756.0,188,3760.0,0,Medium
Porsche,CAYMAN GTS,Two-Seater,3.4,6,M6,Z,Premium Gasoline,12.1,8.9,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Porsche,MACAN S,Suv - Small,3.0,6,A7,Z,Premium Gasoline,13.7,10.3,12.2,281,5620.0,17.69,3538.0,251,5020.0,0,High
Porsche,MACAN TURBO,Suv - Small,3.6,6,A7,Z,Premium Gasoline,14.2,10.1,12.3,283,5660.0,17.84,3568.0,253,5060.0,0,High
Porsche,PANAMERA 4S,Full-Size,3.0,6,AM7,Z,Premium Gasoline,13.4,8.8,11.4,262,5240.0,16.53,3306.0,232,4640.0,0,High
Porsche,PANAMERA S,Full-Size,3.0,6,AM7,Z,Premium Gasoline,13.4,8.8,11.4,262,5240.0,16.53,3306.0,232,4640.0,0,High
Porsche,PANAMERA TURBO S,Full-Size,4.8,8,AM7,Z,Premium Gasoline,15.3,9.7,12.8,294,5880.0,18.56,3712.0,264,5280.0,0,High
Porsche,PANAMERA TURBO S EXECUTIVE,Full-Size,4.8,8,AM7,Z,Premium Gasoline,15.4,9.8,12.9,297,5940.0,18.7,3740.0,267,5340.0,0,High
Ram,1500,Pickup Truck - Standard,3.6,6,A8,X,Regular Gasoline,13.9,9.5,11.9,274,5480.0,17.26,3452.0,244,4880.0,0,High
Ram,1500 (MDS),Pickup Truck - Standard,5.7,8,A8,X,Regular Gasoline,15.7,10.9,13.6,313,6260.0,19.72,3944.0,283,5660.0,0,High
Ram,1500 ECODIESEL,Pickup Truck - Standard,3.0,6,A8,D,Diesel,11.5,8.4,10.1,273,5460.0,16.16,3232.0,243,4860.0,1,High
Ram,1500 ECODIESEL HFE,Pickup Truck - Standard,3.0,6,A8,D,Diesel,11.3,8.0,9.8,265,5300.0,15.68,3136.0,235,4700.0,1,High
Ram,1500 4X4,Pickup Truck - Standard,3.6,6,A8,X,Regular Gasoline,14.6,10.1,12.6,290,5800.0,18.27,3654.0,260,5200.0,0,High
Ram,1500 4X4 (MDS),Pickup Truck - Standard,5.7,8,A6,X,Regular Gasoline,17.7,12.7,15.4,354,7080.0,22.33,4466.0,324,6480.0,0,Very High
Ram,1500 4X4 (MDS),Pickup Truck - Standard,5.7,8,A8,X,Regular Gasoline,16.2,11.5,14.1,324,6480.0,20.44,4088.0,294,5880.0,0,High
Ram,1500 4X4 ECODIESEL,Pickup Truck - Standard,3.0,6,A8,D,Diesel,12.1,8.8,10.6,286,5720.0,16.96,3392.0,256,5120.0,1,High
Ram,PROMASTER CITY,Special Purpose Vehicle,2.4,4,A9,X,Regular Gasoline,11.2,8.1,9.8,225,4500.0,14.21,2842.0,195,3900.0,0,Medium
Rolls-Royce,GHOST,Full-Size,6.6,12,AS8,Z,Premium Gasoline,19.2,12.4,16.1,370,7400.0,23.35,4670.0,340,6800.0,0,Very High
Rolls-Royce,GHOST EWB,Full-Size,6.6,12,AS8,Z,Premium Gasoline,19.2,12.4,16.1,370,7400.0,23.35,4670.0,340,6800.0,0,Very High
Rolls-Royce,PHANTOM,Full-Size,6.7,12,AS8,Z,Premium Gasoline,20.9,12.7,17.2,396,7920.0,24.94,4988.0,366,7320.0,0,Very High
Rolls-Royce,PHANTOM EWB,Full-Size,6.7,12,AS8,Z,Premium Gasoline,20.7,12.9,17.2,396,7920.0,24.94,4988.0,366,7320.0,0,Very High
Rolls-Royce,PHANTOM COUPE,Compact,6.7,12,AS8,Z,Premium Gasoline,20.9,12.7,17.2,396,7920.0,24.94,4988.0,366,7320.0,0,Very High
Rolls-Royce,PHANTOM DROPHEAD COUPE,Compact,6.7,12,AS8,Z,Premium Gasoline,20.7,12.9,17.2,396,7920.0,24.94,4988.0,366,7320.0,0,Very High
Rolls-Royce,WRAITH,Mid-Size,6.6,12,AS8,Z,Premium Gasoline,18.7,11.8,15.6,359,7180.0,22.62,4524.0,329,6580.0,0,Very High
Scion,FR-S,Minicompact,2.0,4,M6,Z,Premium Gasoline,10.9,7.9,9.6,221,4420.0,13.92,2784.0,191,3820.0,0,Medium
Scion,iQ,Minicompact,1.3,4,AV,X,Regular Gasoline,6.5,6.3,6.4,147,2940.0,9.28,1856.0,117,2340.0,0,Low
Scion,tC,Compact,2.5,4,AS6,X,Regular Gasoline,10.2,7.6,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Scion,tC,Compact,2.5,4,M6,X,Regular Gasoline,10.2,7.7,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Scion,xB,Station Wagon - Small,2.4,4,AS4,X,Regular Gasoline,10.9,8.5,9.8,225,4500.0,14.21,2842.0,195,3900.0,0,Medium
Scion,xB,Station Wagon - Small,2.4,4,M5,X,Regular Gasoline,10.8,8.5,9.8,225,4500.0,14.21,2842.0,195,3900.0,0,Medium
Smart,FORTWO CABRIOLET,Two-Seater,1.0,3,AM5,Z,Premium Gasoline,6.8,6.2,6.5,150,3000.0,9.42,1884.0,120,2400.0,0,Medium
Smart,FORTWO COUPE,Two-Seater,1.0,3,AM5,Z,Premium Gasoline,6.8,6.2,6.5,150,3000.0,9.42,1884.0,120,2400.0,0,Medium
Subaru,BRZ,Minicompact,2.0,4,AS6,Z,Premium Gasoline,9.6,7.0,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Subaru,BRZ,Minicompact,2.0,4,M6,Z,Premium Gasoline,10.9,7.9,9.6,221,4420.0,13.92,2784.0,191,3820.0,0,Medium
Subaru,FORESTER AWD,Suv - Small,2.0,4,AV8,Z,Premium Gasoline,10.2,8.5,9.4,216,4320.0,13.63,2726.0,186,3720.0,0,Medium
Subaru,FORESTER AWD,Suv - Small,2.5,4,AV6,X,Regular Gasoline,9.6,7.5,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Subaru,FORESTER AWD,Suv - Small,2.5,4,M6,X,Regular Gasoline,10.6,8.4,9.6,221,4420.0,13.92,2784.0,191,3820.0,0,Medium
Subaru,IMPREZA AWD,Compact,2.0,4,AV6,X,Regular Gasoline,8.5,6.4,7.6,175,3500.0,11.02,2204.0,145,2900.0,0,Medium
Subaru,IMPREZA AWD,Compact,2.0,4,M5,X,Regular Gasoline,9.5,7.0,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Subaru,IMPREZA WAGON AWD,Station Wagon - Small,2.0,4,AV6,X,Regular Gasoline,8.5,6.4,7.6,175,3500.0,11.02,2204.0,145,2900.0,0,Medium
